scenario;environment;levy;flood;seed;cycles;population;requested;fulfilled;unmet;trips;travelers;traveler_distance;occupancy_person_hours;fulfillment_rate;travelers_per_capita;distance_per_requested_visit;mean_distance_per_traveler;occupancy_per_requested_visit;peak_hourly_occupancy;runtime_seconds;peak_memory_kib;validation_passed;failed_checks;commit_sha
13_levy_on_flood_pois;13;True;pois;12;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181094969.4543258;2291171.0;0.9648595815070732;17.36722380140231;76.26284395216986;79.04035510851254;0.9648595815070732;6780.0;343.14757194100093;251724.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;13;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181112986.74154162;2291171.0;0.9648595815070732;17.36722380140231;76.27043140513734;79.04821889834571;0.9648595815070732;6780.0;391.28125112199996;251904.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;14;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181099872.5523863;2291171.0;0.9648595815070732;17.36722380140231;76.26490874835608;79.04249510507348;0.9648595815070732;6780.0;335.1818024290005;252008.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;15;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181117537.08902425;2291171.0;0.9648595815070732;17.36722380140231;76.27234765074616;79.0502049340814;0.9648595815070732;6780.0;354.8596080790012;251552.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;16;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181107563.02860454;2291171.0;0.9648595815070732;17.36722380140231;76.2681473672394;79.04585167523705;0.9648595815070732;6780.0;373.0418877060001;252072.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;17;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181098515.086618;2291171.0;0.9648595815070732;17.36722380140231;76.26433709139415;79.04190262822723;0.9648595815070732;6780.0;373.04444833399975;252312.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;18;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181105521.2714154;2291171.0;0.9648595815070732;17.36722380140231;76.26728754098154;79.04496053389965;0.9648595815070732;6780.0;364.5522448210031;251932.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;19;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181108485.37255245;2291171.0;0.9648595815070732;17.36722380140231;76.26853578538696;79.04625423966716;0.9648595815070732;6780.0;359.60539124299976;251812.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;20;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181110480.0892135;2291171.0;0.9648595815070732;17.36722380140231;76.26937580190376;79.04712484978795;0.9648595815070732;6780.0;380.956026748001;251900.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;21;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181057671.60228246;2291171.0;0.9648595815070732;17.36722380140231;76.24713705385733;79.02407616117804;0.9648595815070732;6780.0;386.89859939899907;251180.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
