scenario;environment;levy;flood;seed;destination_region;node_type;requested;fulfilled;unmet;fulfillment_rate;occupancy_person_hours
13_levy_off_flood_both;13;False;both;0;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_off_flood_both;13;False;both;0;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_off_flood_both;13;False;both;0;Centro Histórico;marketplace;244552.0;240681.0;3871.0;0.9841710556446073;240681.0
13_levy_off_flood_both;13;False;both;0;Centro Histórico;pharmacy;61128.0;60230.0;898.0;0.9853095144614579;60230.0
13_levy_off_flood_both;13;False;both;0;Centro Histórico;restaurant;244552.0;240520.0;4032.0;0.983512708953515;240520.0
13_levy_off_flood_both;13;False;both;0;Cidade Baixa;marketplace;104112.0;93991.0;10121.0;0.9027873828185031;93991.0
13_levy_off_flood_both;13;False;both;0;Cidade Baixa;pharmacy;26024.0;22988.0;3036.0;0.8833384568090993;22988.0
13_levy_off_flood_both;13;False;both;0;Cidade Baixa;restaurant;104112.0;95715.0;8397.0;0.9193464730290456;95715.0
13_levy_off_flood_both;13;False;both;0;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_off_flood_both;13;False;both;0;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_off_flood_both;13;False;both;0;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_off_flood_both;13;False;both;0;Floresta;marketplace;70384.0;59040.0;11344.0;0.8388270061377586;59040.0
13_levy_off_flood_both;13;False;both;0;Floresta;pharmacy;17576.0;13949.0;3627.0;0.7936390532544378;13949.0
13_levy_off_flood_both;13;False;both;0;Floresta;restaurant;70384.0;54802.0;15582.0;0.7786144578313253;54802.0
13_levy_off_flood_both;13;False;both;0;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_off_flood_both;13;False;both;0;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_off_flood_both;13;False;both;0;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_off_flood_both;13;False;both;0;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_off_flood_both;13;False;both;0;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_off_flood_both;13;False;both;0;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_off_flood_both;13;False;both;0;Praia de Belas;marketplace;12176.0;5069.0;7107.0;0.4163107752956636;5069.0
13_levy_off_flood_both;13;False;both;0;Praia de Belas;pharmacy;3048.0;1278.0;1770.0;0.41929133858267714;1278.0
13_levy_off_flood_both;13;False;both;0;Praia de Belas;restaurant;12176.0;4738.0;7438.0;0.38912614980289095;4738.0
13_levy_off_flood_both;13;False;both;0;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
