scenario;environment;levy;flood;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy
13_levy_on_flood_none;13;True;none;29;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83845097.80575609;79.44390544415018;79.44390544415018;1055400.0;1.0;5367.0
13_levy_on_flood_pois;13;True;pois;0;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82714431.12234302;78.37258965543208;81.11500544497892;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;0;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19535681.992430136;74.05040631512166;76.85917966924417;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;0;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78882069.42617323;74.74139608316584;77.54229367603862;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;1;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82707872.54056744;78.36637534637809;81.10857368465345;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;1;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19530331.90210741;74.03012668718884;76.83813082367428;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;1;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78866144.45316863;74.72630704298714;77.52663918139253;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;2;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82698790.39261371;78.35776993804596;81.09966715563883;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;2;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19531123.876007915;74.03312868062557;76.84124668440214;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;2;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78863885.71256985;74.72416686807831;77.52441880446628;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;3;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82718897.16922754;78.3768212708239;81.11938513317166;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;3;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19536670.79839907;74.05415440458148;76.86306992583484;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;3;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78877277.92491286;74.73685609713175;77.53758355622834;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;4;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82704461.57796648;78.36314343184242;81.1052286788764;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;4;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19530876.072034847;74.03218937454456;76.8402717499158;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;4;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78858948.1607458;74.71948849795888;77.51956511469412;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;5;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82702151.71820997;78.36095482111992;81.10296348422796;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;5;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19530798.275693256;74.03189448590402;76.83996567598409;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;5;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78860029.96825063;74.72051351928239;77.52062854819492;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;6;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82714532.47557968;78.3726856884401;81.11510483837657;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;6;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19535351.96751604;74.0491553488645;76.85788125313677;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;6;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78858979.39034736;74.71951808825787;77.51959581387523;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;7;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82710816.0471229;78.36916434254586;81.11146027345099;1019718.0;0.9661910176236498;2075.0
13_levy_on_flood_pois;13;True;pois;7;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;19531199.7354939;74.03341622757489;76.84154513816819;254175.0;0.9634555902598781;685.0
13_levy_on_flood_pois;13;True;pois;7;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;78859013.30207708;74.71955021989491;77.51962914962978;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_pois;13;True;pois;8;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;82705399.6754045;78.3640322867202;81.10614863658826;1019718.0;0.9661910176236498;2075.0
