Simulation Frame;Azenha//home;Azenha//work;Azenha//school;Azenha//marketplace;Azenha//pharmacy;Azenha//gas_station;Azenha//hospital;Azenha//shopping_mall;Bom Fim//home;Bom Fim//work;Bom Fim//school;Bom Fim//marketplace;Bom Fim//pharmacy;Bom Fim//gas_station;Centro//home;Centro//work;Centro//school;Centro//marketplace;Centro//pharmacy;Centro//gas_station;Centro//hospital;Centro//shopping_mall;Cidade Baixa//home;Cidade Baixa//work;Cidade Baixa//school;Cidade Baixa//marketplace;Cidade Baixa//pharmacy;Cidade Baixa//gas_station;Farroupilha//home;Farroupilha//work;Farroupilha//school;Farroupilha//marketplace;Farroupilha//pharmacy;Farroupilha//gas_station;Farroupilha//hospital;Floresta//home;Floresta//work;Floresta//school;Floresta//marketplace;Floresta//pharmacy;Floresta//gas_station;Independência//home;Independência//work;Independência//school;Independência//marketplace;Independência//pharmacy;Independência//gas_station;Independência//hospital;Independência//shopping_mall;Menino Deus//home;Menino Deus//work;Menino Deus//school;Menino Deus//marketplace;Menino Deus//pharmacy;Menino Deus//gas_station;Menino Deus//hospital;Moinhos de Vento//home;Moinhos de Vento//work;Moinhos de Vento//school;Moinhos de Vento//marketplace;Moinhos de Vento//pharmacy;Moinhos de Vento//gas_station;Moinhos de Vento//hospital;Moinhos de Vento//shopping_mall;Praia de Belas//home;Praia de Belas//work;Praia de Belas//school;Praia de Belas//marketplace;Praia de Belas//pharmacy;Praia de Belas//gas_station;Praia de Belas//stadium;Praia de Belas//shopping_mall;Rio Branco//home;Rio Branco//work;Rio Branco//school;Rio Branco//marketplace;Rio Branco//pharmacy;Rio Branco//gas_station;Rio Branco//hospital;Santa Cecília//home;Santa Cecília//work;Santa Cecília//school;Santa Cecília//marketplace;Santa Cecília//pharmacy;Santa Cecília//gas_station;Santa Cecília//hospital;Santana//home;Santana//work;Santana//school;Santana//marketplace;Santana//pharmacy;Santana//gas_station;Santana//hospital
31;1;13;13;6;0;0;1;13;1;13;13;7;0;3;1;13;13;13;11;11;13;13;1;13;13;8;5;4;1;0;12;0;0;0;0;1;13;12;6;5;2;1;13;12;5;2;1;2;12;1;13;12;13;10;10;8;1;13;12;8;4;3;2;12;1;11;12;3;2;2;0;12;1;13;12;9;7;6;6;1;13;12;5;2;2;3;1;13;12;9;7;5;7
32;1;13;13;11;2;0;5;0;1;13;13;10;2;6;1;13;13;13;13;13;13;0;1;13;13;13;5;5;1;0;12;0;0;0;0;1;13;12;9;3;3;1;13;12;7;3;0;4;0;1;13;12;13;11;10;12;1;13;12;12;5;3;8;0;1;12;12;12;8;2;0;0;1;13;12;12;8;7;10;1;13;12;12;1;3;11;1;13;12;13;11;7;13
33;1;13;13;11;4;6;6;0;1;13;13;11;5;7;1;13;13;13;13;13;13;0;1;13;13;13;10;8;1;0;12;0;0;0;0;1;13;12;11;6;5;1;13;12;8;5;5;6;0;1;13;12;13;12;13;13;1;13;12;7;7;4;5;0;1;0;12;12;6;7;0;0;1;13;12;12;10;10;10;1;13;12;12;3;4;11;1;13;12;13;9;9;13
34;1;13;13;10;0;0;2;13;1;13;13;11;1;0;1;13;13;13;13;13;13;13;1;13;13;13;10;6;1;0;0;0;0;0;0;1;13;12;7;5;5;1;13;12;7;0;0;3;13;1;13;12;13;13;12;13;1;13;12;6;3;0;8;13;1;13;12;0;0;0;0;13;1;13;13;12;10;9;12;1;13;12;6;3;4;5;1;13;13;13;10;9;13
35;1;13;13;12;0;0;5;13;1;13;13;12;0;5;1;13;13;13;12;13;13;13;1;13;13;13;9;11;1;0;0;0;0;0;0;1;13;12;10;7;5;1;13;12;2;0;0;3;13;1;13;12;13;12;13;13;1;13;12;10;0;6;7;13;1;13;12;0;0;0;0;13;1;13;13;12;10;11;12;1;13;12;10;3;6;3;1;13;13;13;9;8;12
36;1;13;13;0;0;0;0;8;1;13;13;7;0;0;1;13;13;13;13;11;13;13;1;13;13;11;0;5;1;0;12;0;0;0;0;1;13;12;10;0;0;1;13;12;0;0;0;0;12;1;13;12;13;10;12;13;1;13;12;3;0;0;6;13;1;4;12;13;0;0;0;13;1;13;12;13;7;11;10;1;13;12;8;0;0;8;1;13;13;13;11;11;13
37;1;13;13;0;0;0;3;13;1;13;13;9;3;0;1;13;13;13;13;13;13;13;1;13;13;13;12;12;1;0;3;0;0;0;0;1;13;12;13;8;7;1;13;12;0;0;0;2;13;1;13;12;13;13;13;13;1;13;12;8;0;0;13;13;1;0;12;13;0;0;0;13;1;13;12;13;12;12;13;1;13;12;7;4;4;7;1;13;13;13;13;11;13
38;1;13;13;5;0;0;0;13;1;13;13;8;0;0;1;13;13;13;13;13;13;12;1;13;13;13;6;6;1;0;0;0;0;0;0;1;13;12;12;2;0;1;13;12;0;0;0;0;13;1;13;13;13;13;13;13;1;13;12;12;0;0;4;13;1;13;12;0;0;0;0;13;1;13;13;13;12;11;13;1;13;12;5;4;0;3;1;13;12;13;11;13;12
39;1;13;13;13;0;0;10;0;1;13;13;13;0;5;1;13;13;13;13;13;13;13;1;13;13;13;13;13;1;0;0;0;0;0;0;1;13;12;13;8;10;1;13;12;0;0;0;0;13;1;13;13;13;13;13;13;1;13;12;13;0;9;11;12;1;0;0;0;0;0;0;13;1;13;13;13;13;11;13;1;13;12;11;4;8;5;1;13;12;13;13;13;13
40;1;13;13;0;0;0;0;4;1;13;13;13;0;0;1;13;13;13;13;13;13;13;1;13;13;13;13;11;1;0;0;0;0;0;0;1;13;12;13;5;8;1;13;12;0;0;0;2;0;1;13;12;13;13;13;13;1;13;12;4;0;0;10;0;1;0;0;13;0;0;0;13;1;13;12;13;12;13;13;1;13;12;12;4;4;12;1;13;13;13;13;13;13
