Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders;VaccLvl_0;VaccLvl_1;VaccLvl_2;dVaccLvl_0;dVaccLvl_1;dVaccLvl_2
13;13;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
13;13;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
13;13;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
13;13;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
13;13;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
13;13;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
14;14;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
14;14;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
14;14;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
14;14;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
14;14;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
14;14;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
14;14;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
14;14;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
14;14;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
14;14;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
14;14;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
14;14;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
14;14;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
15;15;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
15;15;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
15;15;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
15;15;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
15;15;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
15;15;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
15;15;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
15;15;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
15;15;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
15;15;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
15;15;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
15;15;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
15;15;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
16;16;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
16;16;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
16;16;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
16;16;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
16;16;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
16;16;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
16;16;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
16;16;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
16;16;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
16;16;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
16;16;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
16;16;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
16;16;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
17;17;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
17;17;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
17;17;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
17;17;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
17;17;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
17;17;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
17;17;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
17;17;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
17;17;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
17;17;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
17;17;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
17;17;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
17;17;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
18;18;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
18;18;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
18;18;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
18;18;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
18;18;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
18;18;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
18;18;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
18;18;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
18;18;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
18;18;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
18;18;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
18;18;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
18;18;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
19;19;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
19;19;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
19;19;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
