Frame;Hour;Vacc0;Vacc1;Vacc2;Vacc3;dI;dR;dV
337;1;143546;46943;0;0;0;0;
338;2;143546;46943;0;0;0;0;
339;3;143546;46943;0;0;0;0;
340;4;143546;46943;0;0;0;0;
341;5;143546;46943;0;0;0;0;
342;6;143546;46943;0;0;0;0;
343;7;143546;46943;0;0;0;0;
344;8;143546;46943;0;0;0;0;
345;9;143457;47032;0;0;-89;89;
346;10;143361;47128;0;0;-96;96;
347;11;143361;47128;0;0;0;0;
348;12;143262;47227;0;0;-99;99;
349;13;143262;47227;0;0;0;0;
350;14;143262;47227;0;0;0;0;
351;15;143262;47227;0;0;0;0;
352;16;143262;47227;0;0;0;0;
353;17;143262;47227;0;0;0;0;
354;18;143262;47227;0;0;0;0;
355;19;143262;47227;0;0;0;0;
356;20;143262;47227;0;0;0;0;
357;21;143262;47227;0;0;0;0;
358;22;143262;47227;0;0;0;0;
359;23;143262;47227;0;0;0;0;
360;0;143262;47227;0;0;0;0;
361;1;143262;47227;0;0;0;0;
362;2;143262;47227;0;0;0;0;
363;3;143262;47227;0;0;0;0;
364;4;143262;47227;0;0;0;0;
365;5;143262;47227;0;0;0;0;
366;6;143262;47227;0;0;0;0;
367;7;143262;47227;0;0;0;0;
368;8;143262;47227;0;0;0;0;
369;9;142186;48303;0;0;-1076;1076;
370;10;141103;49386;0;0;-1083;1083;
371;11;141103;49386;0;0;0;0;
372;12;140016;50473;0;0;-1087;1087;
373;13;140016;50473;0;0;0;0;
374;14;140016;50473;0;0;0;0;
375;15;140016;50473;0;0;0;0;
376;16;140016;50473;0;0;0;0;
377;17;140016;50473;0;0;0;0;
378;18;140016;50473;0;0;0;0;
379;19;140016;50473;0;0;0;0;
380;20;140016;50473;0;0;0;0;
381;21;140016;50473;0;0;0;0;
382;22;140016;50473;0;0;0;0;
383;23;140016;50473;0;0;0;0;
384;0;140016;50473;0;0;0;0;
385;1;140016;50473;0;0;0;0;
386;2;140016;50473;0;0;0;0;
387;3;140016;50473;0;0;0;0;
388;4;140016;50473;0;0;0;0;
389;5;140016;50473;0;0;0;0;
390;6;140016;50473;0;0;0;0;
391;7;140016;50473;0;0;0;0;
392;8;140016;50473;0;0;0;0;
393;9;138734;51755;0;0;-1282;1282;
394;10;137447;53042;0;0;-1287;1287;
395;11;137447;53042;0;0;0;0;
396;12;136154;54335;0;0;-1293;1293;
397;13;136154;54335;0;0;0;0;
398;14;136154;54335;0;0;0;0;
399;15;136154;54335;0;0;0;0;
400;16;136154;54335;0;0;0;0;
401;17;136154;54335;0;0;0;0;
402;18;136154;54335;0;0;0;0;
403;19;136154;54335;0;0;0;0;
404;20;136154;54335;0;0;0;0;
405;21;136154;54335;0;0;0;0;
406;22;136154;54335;0;0;0;0;
407;23;136154;54335;0;0;0;0;
408;0;136154;54335;0;0;0;0;
409;1;136154;54335;0;0;0;0;
410;2;136154;54335;0;0;0;0;
411;3;136154;54335;0;0;0;0;
412;4;136154;54335;0;0;0;0;
413;5;136154;54335;0;0;0;0;
414;6;136154;54335;0;0;0;0;
415;7;136154;54335;0;0;0;0;
416;8;136154;54335;0;0;0;0;
417;9;135236;55253;0;0;-918;918;
418;10;134314;56175;0;0;-922;922;
419;11;134314;56175;0;0;0;0;
420;12;133389;57100;0;0;-925;925;
421;13;133389;57100;0;0;0;0;
422;14;133389;57100;0;0;0;0;
423;15;133389;57100;0;0;0;0;
424;16;133389;57100;0;0;0;0;
425;17;133389;57100;0;0;0;0;
426;18;133389;57100;0;0;0;0;
427;19;133389;57100;0;0;0;0;
428;20;133389;57100;0;0;0;0;
429;21;133389;57100;0;0;0;0;
430;22;133389;57100;0;0;0;0;
431;23;133389;57100;0;0;0;0;
432;0;133389;57100;0;0;0;0;
433;1;133389;57100;0;0;0;0;
434;2;133389;57100;0;0;0;0;
435;3;133389;57100;0;0;0;0;
436;4;133389;57100;0;0;0;0;
437;5;133389;57100;0;0;0;0;
438;6;133389;57100;0;0;0;0;
439;7;133389;57100;0;0;0;0;
440;8;133389;57100;0;0;0;0;
441;9;131191;59298;0;0;-2198;2198;
442;10;128988;61501;0;0;-2203;2203;
443;11;128988;61501;0;0;0;0;
444;12;126781;63708;0;0;-2207;2207;
445;13;126781;63708;0;0;0;0;
446;14;126781;63708;0;0;0;0;
447;15;126781;63708;0;0;0;0;
448;16;126781;63708;0;0;0;0;
449;17;126781;63708;0;0;0;0;
450;18;126781;63708;0;0;0;0;
451;19;126781;63708;0;0;0;0;
452;20;126781;63708;0;0;0;0;
453;21;126781;63708;0;0;0;0;
454;22;126781;63708;0;0;0;0;
455;23;126781;63708;0;0;0;0;
456;0;126781;63708;0;0;0;0;
457;1;126781;63708;0;0;0;0;
458;2;126781;63708;0;0;0;0;
459;3;126781;63708;0;0;0;0;
460;4;126781;63708;0;0;0;0;
461;5;126781;63708;0;0;0;0;
462;6;126781;63708;0;0;0;0;
463;7;126781;63708;0;0;0;0;
464;8;126781;63708;0;0;0;0;
465;9;126781;63708;0;0;0;0;
466;10;126781;63708;0;0;0;0;
467;11;126781;63708;0;0;0;0;
468;12;126781;63708;0;0;0;0;
