Frame;Hour;Day;Vacc0;Vacc1;Vacc2;dVacc0;dVacc1;dVacc2
359;23;14;143262;45835;0;0;0;0
360;0;15;143262;45835;0;0;0;0
361;1;15;143262;45835;0;0;0;0
362;2;15;143262;45835;0;0;0;0
363;3;15;143262;45835;0;0;0;0
364;4;15;143262;45835;0;0;0;0
365;5;15;143262;45797;0;0;-38;0
366;6;15;143262;45797;0;0;0;0
367;7;15;143262;45758;0;0;-39;0
368;8;15;142186;46834;0;-1076;1076;0
369;9;15;142186;46797;0;0;-37;0
370;10;15;141103;47880;0;-1083;1083;0
371;11;15;141103;47839;0;0;-41;0
372;12;15;140016;48926;0;-1087;1087;0
373;13;15;140016;48880;0;0;-46;0
374;14;15;140016;48880;0;0;0;0
375;15;15;140016;48837;0;0;-43;0
376;16;15;140016;48837;0;0;0;0
377;17;15;140016;48792;0;0;-45;0
378;18;15;140016;48792;0;0;0;0
379;19;15;140016;48792;0;0;0;0
380;20;15;140016;48792;0;0;0;0
381;21;15;140016;48792;0;0;0;0
382;22;15;140016;48792;0;0;0;0
383;23;15;140016;48792;0;0;0;0
384;0;16;140016;48792;0;0;0;0
385;1;16;140016;48792;0;0;0;0
386;2;16;140016;48792;0;0;0;0
387;3;16;140016;48792;0;0;0;0
388;4;16;140016;48792;0;0;0;0
389;5;16;140016;48751;0;0;-41;0
390;6;16;140016;48751;0;0;0;0
391;7;16;140016;48705;0;0;-46;0
392;8;16;138734;49987;0;-1282;1282;0
393;9;16;138734;49938;0;0;-49;0
394;10;16;137447;51225;0;-1287;1287;0
395;11;16;137447;51175;0;0;-50;0
396;12;16;136154;52468;0;-1293;1293;0
397;13;16;136154;52413;0;0;-55;0
398;14;16;136154;52413;0;0;0;0
399;15;16;136154;52357;0;0;-56;0
400;16;16;136154;52357;0;0;0;0
401;17;16;136154;52302;0;0;-55;0
402;18;16;136154;52302;0;0;0;0
403;19;16;136154;52302;0;0;0;0
404;20;16;136154;52302;0;0;0;0
405;21;16;136154;52302;0;0;0;0
406;22;16;136154;52302;0;0;0;0
