scenario;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
94_levy_v2_flood_destinations;levy_repatriations;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_homes;pt_fulfillment_rate;5;0.999999924891769;8.026309269053123e-08;0.9999998252319765;1.0000000245515617;True
94_levy_v2_flood_homes;pt_unmet;5;1.8;1.9235384061671346;-0.5883883880999805;4.18838838809998;True
94_levy_v2_flood_homes;pt_mean_distance_per_traveler;5;185.64215352005408;0.6694461399168262;184.81092634938287;186.4733806907253;True
94_levy_v2_flood_homes;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_homes;levy_fulfillment_rate;5;0.9315992061732665;0.00013978907794028034;0.9314256351078459;0.9317727772386871;True
94_levy_v2_flood_homes;levy_unmet;5;3892860.8;7967.897194366905;3882967.3489123657;3902754.251087634;True
94_levy_v2_flood_homes;levy_population_moved;5;53019648.0;7867.046618649212;53009879.77144143;53029416.22855857;True
94_levy_v2_flood_homes;levy_packet_count;5;4185787.2;690.868438995443;4184929.3735318044;4186645.026468196;True
94_levy_v2_flood_homes;levy_actual_blob_fragments;5;4645581.4;5082.047599147414;4639271.204458981;4651891.59554102;True
94_levy_v2_flood_homes;levy_mean_outbound_distance;5;3654.2559360361165;3.4665025680780484;3649.951704597653;3658.56016747458;True
94_levy_v2_flood_homes;levy_occupancy_person_hours;5;318419093.2;70418.55827621011;318331657.011383;318506529.388617;True
94_levy_v2_flood_homes;levy_temporary_returns;5;71372.0;103.76656494266349;71243.15679209342;71500.84320790658;True
94_levy_v2_flood_homes;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_homes;levy_repatriations;5;27005.8;372.69518376281707;26543.037808017772;27468.562191982226;True
94_levy_v2_flood_none;pt_fulfillment_rate;5;1.0;0.0;1.0;1.0;True
94_levy_v2_flood_none;pt_unmet;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_none;pt_mean_distance_per_traveler;5;90.01654706892785;0.005065348220522607;90.01025760840406;90.02283652945164;True
94_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_none;levy_fulfillment_rate;5;0.9999849171942723;1.4628791299168793e-06;0.9999831007899229;0.9999867335986217;True
94_levy_v2_flood_none;levy_unmet;5;858.4;83.25142641420626;755.0297010223702;961.7702989776297;True
94_levy_v2_flood_none;levy_population_moved;5;56911650.4;1183.482488252361;56910180.91240183;56913119.887598164;True
94_levy_v2_flood_none;levy_packet_count;5;4185787.2;690.868438995443;4184929.3735318044;4186645.026468196;True
94_levy_v2_flood_none;levy_actual_blob_fragments;5;4505792.8;674.5777938829591;4504955.201039348;4506630.398960652;True
94_levy_v2_flood_none;levy_mean_outbound_distance;5;3687.908280529909;1.6789348586975608;3685.823607560535;3689.992953499283;True
94_levy_v2_flood_none;levy_occupancy_person_hours;5;341442729.8;13251.422742483162;341426275.9854557;341459183.61454433;True
94_levy_v2_flood_none;levy_temporary_returns;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_none;levy_repatriations;5;0.0;0.0;0.0;0.0;True
