scenario;seed;group;reason;packets;requested;fulfilled;unmet
94_levy_v2_flood_destinations;1;student;destination_disabled;31115.0;873928.0;0.0;873928.0
94_levy_v2_flood_destinations;1;student;fulfilled;517906.0;15296578.0;15296578.0;0.0
94_levy_v2_flood_destinations;1;student;insufficient_population;532.0;25375.0;24500.0;875.0
94_levy_v2_flood_destinations;1;worker;anticipated_destination_disable;6298.0;76760.0;0.0;76760.0
94_levy_v2_flood_destinations;1;worker;destination_disabled;209961.0;2240176.0;0.0;2240176.0
94_levy_v2_flood_destinations;1;worker;fulfilled;3420042.0;38385399.0;38385399.0;0.0
94_levy_v2_flood_destinations;1;worker;insufficient_population;3.0;33.0;30.0;3.0
94_levy_v2_flood_destinations;2;student;anticipated_destination_disable;520.0;14570.0;0.0;14570.0
94_levy_v2_flood_destinations;2;student;destination_disabled;31135.0;872412.0;0.0;872412.0
94_levy_v2_flood_destinations;2;student;fulfilled;517252.0;15304248.0;15304248.0;0.0
94_levy_v2_flood_destinations;2;student;insufficient_population;397.0;18754.0;18133.0;621.0
94_levy_v2_flood_destinations;2;worker;anticipated_destination_disable;6373.0;78798.0;0.0;78798.0
94_levy_v2_flood_destinations;2;worker;destination_disabled;210153.0;2246950.0;0.0;2246950.0
94_levy_v2_flood_destinations;2;worker;fulfilled;3418823.0;38376535.0;38376535.0;0.0
94_levy_v2_flood_destinations;2;worker;insufficient_population;3.0;29.0;26.0;3.0
94_levy_v2_flood_destinations;3;student;anticipated_destination_disable;485.0;14285.0;0.0;14285.0
94_levy_v2_flood_destinations;3;student;destination_disabled;31074.0;871108.0;0.0;871108.0
94_levy_v2_flood_destinations;3;student;fulfilled;517904.0;15301232.0;15301232.0;0.0
94_levy_v2_flood_destinations;3;student;insufficient_population;457.0;21567.0;20822.0;745.0
94_levy_v2_flood_destinations;3;worker;anticipated_destination_disable;6335.0;78061.0;0.0;78061.0
94_levy_v2_flood_destinations;3;worker;destination_disabled;209669.0;2243814.0;0.0;2243814.0
94_levy_v2_flood_destinations;3;worker;fulfilled;3420186.0;38384172.0;38384172.0;0.0
94_levy_v2_flood_destinations;3;worker;insufficient_population;2.0;17.0;15.0;2.0
94_levy_v2_flood_destinations;4;student;anticipated_destination_disable;493.0;14765.0;0.0;14765.0
94_levy_v2_flood_destinations;4;student;destination_disabled;31048.0;874547.0;0.0;874547.0
