Frame;Hour;Node;Total;Locals;Outsiders;
24;0;Santana//gas_station;1210;1210;0;
24;0;Santana//hospital;0;0;0;
25;1;Azenha//home;1534;1344;190;
25;1;Azenha//work;1030;650;380;
25;1;Azenha//school;270;220;50;
25;1;Azenha//marketplace;430;130;300;
25;1;Azenha//pharmacy;530;520;10;
25;1;Azenha//gas_station;2550;2130;420;
25;1;Azenha//hospital;210;150;60;
25;1;Azenha//shopping_mall;810;790;20;
25;1;Bom Fim//home;11453;11313;140;
25;1;Bom Fim//work;520;0;520;
25;1;Bom Fim//school;350;180;170;
25;1;Bom Fim//marketplace;230;30;200;
25;1;Bom Fim//pharmacy;130;0;130;
25;1;Bom Fim//gas_station;1410;70;1340;
25;1;Centro//home;39054;38954;100;
25;1;Centro//work;70;0;70;
25;1;Centro//school;50;10;40;
25;1;Centro//marketplace;40;0;40;
25;1;Centro//pharmacy;1600;130;1470;
25;1;Centro//gas_station;120;10;110;
25;1;Centro//hospital;110;0;110;
25;1;Centro//shopping_mall;190;40;150;
25;1;Cidade Baixa//home;15409;15319;90;
25;1;Cidade Baixa//work;210;20;190;
25;1;Cidade Baixa//school;90;10;80;
25;1;Cidade Baixa//marketplace;50;0;50;
25;1;Cidade Baixa//pharmacy;50;0;50;
25;1;Cidade Baixa//gas_station;140;30;110;
25;1;Farroupilha//home;311;101;210;
25;1;Farroupilha//work;200;70;130;
25;1;Farroupilha//school;230;10;220;
25;1;Farroupilha//marketplace;450;10;440;
25;1;Farroupilha//pharmacy;220;50;170;
25;1;Farroupilha//gas_station;210;50;160;
25;1;Farroupilha//hospital;200;70;130;
25;1;Floresta//home;1966;1796;170;
25;1;Floresta//work;1800;1460;340;
25;1;Floresta//school;4520;970;3550;
25;1;Floresta//marketplace;6620;370;6250;
25;1;Floresta//pharmacy;540;320;220;
25;1;Floresta//gas_station;550;480;70;
25;1;Independência//home;1242;842;400;
25;1;Independência//work;160;0;160;
25;1;Independência//school;310;210;100;
25;1;Independência//marketplace;320;220;100;
25;1;Independência//pharmacy;330;150;180;
25;1;Independência//gas_station;60;40;20;
25;1;Independência//hospital;330;130;200;
25;1;Independência//shopping_mall;290;60;230;
25;1;Menino Deus//home;30490;30380;110;
25;1;Menino Deus//work;670;0;670;
25;1;Menino Deus//school;300;220;80;
25;1;Menino Deus//marketplace;1350;1040;310;
25;1;Menino Deus//pharmacy;450;10;440;
25;1;Menino Deus//gas_station;50;0;50;
25;1;Menino Deus//hospital;320;0;320;
25;1;Moinhos de Vento//home;11907;11717;190;
25;1;Moinhos de Vento//work;630;0;630;
25;1;Moinhos de Vento//school;440;70;370;
25;1;Moinhos de Vento//marketplace;80;40;40;
25;1;Moinhos de Vento//pharmacy;260;20;240;
25;1;Moinhos de Vento//gas_station;180;0;180;
25;1;Moinhos de Vento//hospital;300;60;240;
25;1;Moinhos de Vento//shopping_mall;330;30;300;
25;1;Praia de Belas//home;4781;2131;2650;
25;1;Praia de Belas//work;200;30;170;
25;1;Praia de Belas//school;180;40;140;
25;1;Praia de Belas//marketplace;250;30;220;
25;1;Praia de Belas//pharmacy;60;0;60;
25;1;Praia de Belas//gas_station;220;0;220;
25;1;Praia de Belas//stadium;350;50;300;
25;1;Praia de Belas//shopping_mall;2810;0;2810;
25;1;Rio Branco//home;17941;17451;490;
25;1;Rio Branco//work;280;20;260;
25;1;Rio Branco//school;300;30;270;
