;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
1976;0;Cidade Baixa;Anchieta;0;0;0;0;0;0
1977;0;Cidade Baixa;Arquipélago;249;0;0;0;249;0
1978;0;Cidade Baixa;Auxiliadora;210;0;129;46;0;210
1979;0;Cidade Baixa;Azenha;842;0;473;209;0;842
1980;0;Cidade Baixa;Bela Vista;500;0;149;72;250;250
1981;0;Cidade Baixa;Belém Novo;250;250;0;0;250;0
1982;0;Cidade Baixa;Belém Velho;0;0;0;0;0;0
1983;0;Cidade Baixa;Boa Vista;500;0;292;100;0;500
1984;0;Cidade Baixa;Boa Vista do Sul;0;0;0;0;0;0
1985;0;Cidade Baixa;Bom Fim;1450;250;450;226;500;950
1986;0;Cidade Baixa;Bom Jesus;0;0;0;0;0;0
1987;0;Cidade Baixa;Camaquã;0;0;0;0;0;0
1988;0;Cidade Baixa;Campo Novo;0;0;0;0;0;0
1989;0;Cidade Baixa;Cascata;0;0;0;0;0;0
1990;0;Cidade Baixa;Cavalhada;0;0;0;0;0;0
1991;0;Cidade Baixa;Cel. Aparício Borges;249;249;0;0;249;0
1992;0;Cidade Baixa;Centro Histórico;3151;985;754;352;1711;1440
1993;0;Cidade Baixa;Chapéu do Sol;0;0;0;0;0;0
1994;0;Cidade Baixa;Chácara das Pedras;942;242;120;45;742;200
1995;0;Cidade Baixa;Cidade Baixa;6459;0;2887;1298;983;5476
1996;0;Cidade Baixa;Costa e Silva;0;0;0;0;0;0
1997;0;Cidade Baixa;Cristal;200;0;114;38;0;200
1998;0;Cidade Baixa;Cristo Redentor;0;0;0;0;0;0
1999;0;Cidade Baixa;Espírito Santo;0;0;0;0;0;0
2000;0;Cidade Baixa;Extrema;0;0;0;0;0;0
2001;0;Cidade Baixa;Farrapos;6135;745;2950;1324;775;3690
2002;0;Cidade Baixa;Farroupilha;3000;250;1241;529;750;2250
2003;0;Cidade Baixa;Floresta;1052;0;397;201;250;802
2004;0;Cidade Baixa;Glória;250;0;127;48;0;250
2005;0;Cidade Baixa;Guarujá;242;0;0;0;242;0
2006;0;Cidade Baixa;Higienópolis;250;0;131;45;0;250
2007;0;Cidade Baixa;Humaitá;0;0;0;0;0;0
2008;0;Cidade Baixa;Hípica;0;0;0;0;0;0
2009;0;Cidade Baixa;Independência;672;0;201;97;250;422
2010;0;Cidade Baixa;Ipanema;0;0;0;0;0;0
2011;0;Cidade Baixa;Jardim Botânico;500;0;0;0;500;0
2012;0;Cidade Baixa;Jardim Carvalho;250;0;0;0;250;0
2013;0;Cidade Baixa;Jardim Europa;0;0;0;0;0;0
2014;0;Cidade Baixa;Jardim Floresta;0;0;0;0;0;0
2015;0;Cidade Baixa;Jardim Isabel;0;0;0;0;0;0
2016;0;Cidade Baixa;Jardim Itú;210;0;129;44;0;210
2017;0;Cidade Baixa;Jardim Leopoldina;0;0;0;0;0;0
2018;0;Cidade Baixa;Jardim Lindóia;0;0;0;0;0;0
2019;0;Cidade Baixa;Jardim Sabará;0;0;0;0;0;0
2020;0;Cidade Baixa;Jardim São Pedro;0;0;0;0;0;0
2021;0;Cidade Baixa;Jardim do Salso;0;0;0;0;0;0
2022;0;Cidade Baixa;Lageado;0;0;0;0;0;0
2023;0;Cidade Baixa;Lami;0;0;0;0;0;0
2024;0;Cidade Baixa;Lomba do Pinheiro;0;0;0;0;0;0
2025;0;Cidade Baixa;Medianeira;250;0;0;0;250;0
2026;0;Cidade Baixa;Menino Deus;4515;737;1204;499;2666;1849
2027;0;Cidade Baixa;Moinhos de Vento;250;0;131;64;0;250
2028;0;Cidade Baixa;Mont'Serrat;1172;0;358;177;500;672
2029;0;Cidade Baixa;Morro Santana;250;0;135;45;0;250
2030;0;Cidade Baixa;Mário Quintana;0;0;0;0;0;0
2031;0;Cidade Baixa;Navegantes;0;0;0;0;0;0
2032;0;Cidade Baixa;Nonoai;0;0;0;0;0;0
2033;0;Cidade Baixa;Parque Santa Fé;0;0;0;0;0;0
2034;0;Cidade Baixa;Partenon;210;0;110;52;0;210
2035;0;Cidade Baixa;Passo D'Areia;0;0;0;0;0;0
2036;0;Cidade Baixa;Passo das Pedras;398;0;220;81;0;398
2037;0;Cidade Baixa;Pedra Redonda;0;0;0;0;0;0
2038;0;Cidade Baixa;Petrópolis;742;0;269;118;242;500
2039;0;Cidade Baixa;Pitinga;0;0;0;0;0;0
2040;0;Cidade Baixa;Ponta Grossa;500;0;145;72;250;250
2041;0;Cidade Baixa;Praia de Belas;500;250;117;48;250;250
2042;0;Cidade Baixa;Restinga;0;0;0;0;0;0
2043;0;Cidade Baixa;Rio Branco;250;0;100;54;0;250
2044;0;Cidade Baixa;Rubem Berta;0;0;0;0;0;0
2045;0;Cidade Baixa;Santa Cecília;0;0;0;0;0;0
2046;0;Cidade Baixa;Santa Maria Goretti;0;0;0;0;0;0
2047;0;Cidade Baixa;Santa Rosa de Lima;0;0;0;0;0;0
