;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
262;Anchieta;Santa Tereza;0;0;0;0;0;0
263;Anchieta;Santana;0;0;0;0;0;0
264;Anchieta;Santo Antônio;0;0;0;0;0;0
265;Anchieta;Sarandi;2055;0;706;344;749;1306
266;Anchieta;Serraria;0;0;0;0;0;0
267;Anchieta;São Caetano;0;0;0;0;0;0
268;Anchieta;São Geraldo;250;0;138;30;0;250
269;Anchieta;São José;0;0;0;0;0;0
270;Anchieta;São João;0;0;0;0;0;0
271;Anchieta;São Sebastião;0;0;0;0;0;0
272;Anchieta;Sétimo Céu;0;0;0;0;0;0
273;Anchieta;Teresópolis;0;0;0;0;0;0
274;Anchieta;Tristeza;0;0;0;0;0;0
275;Anchieta;Três Figueiras;0;0;0;0;0;0
276;Anchieta;Vila Assunção;0;0;0;0;0;0
277;Anchieta;Vila Conceição;0;0;0;0;0;0
278;Anchieta;Vila Ipiranga;0;0;0;0;0;0
279;Anchieta;Vila Jardim;0;0;0;0;0;0
280;Anchieta;Vila João Pessoa;0;0;0;0;0;0
281;Anchieta;Vila Nova;0;0;0;0;0;0
282;Arquipélago;Aberta dos Morros;0;0;0;0;0;0
283;Arquipélago;Agronomia;0;0;0;0;0;0
284;Arquipélago;Anchieta;0;0;0;0;0;0
285;Arquipélago;Arquipélago;0;0;0;0;0;0
286;Arquipélago;Auxiliadora;250;0;144;44;0;250
287;Arquipélago;Azenha;0;0;0;0;0;0
288;Arquipélago;Bela Vista;0;0;0;0;0;0
289;Arquipélago;Belém Novo;500;0;132;35;250;250
290;Arquipélago;Belém Velho;0;0;0;0;0;0
291;Arquipélago;Boa Vista;0;0;0;0;0;0
292;Arquipélago;Boa Vista do Sul;0;0;0;0;0;0
293;Arquipélago;Bom Fim;0;0;0;0;0;0
294;Arquipélago;Bom Jesus;0;0;0;0;0;0
295;Arquipélago;Camaquã;208;0;118;65;0;208
296;Arquipélago;Campo Novo;0;0;0;0;0;0
297;Arquipélago;Cascata;208;0;118;31;0;208
298;Arquipélago;Cavalhada;0;0;0;0;0;0
299;Arquipélago;Cel. Aparício Borges;0;0;0;0;0;0
300;Arquipélago;Centro Histórico;725;0;0;0;725;0
301;Arquipélago;Chapéu do Sol;0;0;0;0;0;0
302;Arquipélago;Chácara das Pedras;0;0;0;0;0;0
303;Arquipélago;Cidade Baixa;250;0;0;0;250;0
304;Arquipélago;Costa e Silva;0;0;0;0;0;0
305;Arquipélago;Cristal;0;0;0;0;0;0
306;Arquipélago;Cristo Redentor;0;0;0;0;0;0
307;Arquipélago;Espírito Santo;0;0;0;0;0;0
308;Arquipélago;Extrema;250;0;134;33;0;250
309;Arquipélago;Farrapos;2536;1196;782;246;593;1172
310;Arquipélago;Farroupilha;0;0;0;0;0;0
311;Arquipélago;Floresta;0;0;0;0;0;0
312;Arquipélago;Glória;0;0;0;0;0;0
313;Arquipélago;Guarujá;398;0;236;68;0;398
314;Arquipélago;Higienópolis;0;0;0;0;0;0
315;Arquipélago;Humaitá;0;0;0;0;0;0
316;Arquipélago;Hípica;0;0;0;0;0;0
317;Arquipélago;Independência;0;0;0;0;0;0
318;Arquipélago;Ipanema;0;0;0;0;0;0
319;Arquipélago;Jardim Botânico;0;0;0;0;0;0
320;Arquipélago;Jardim Carvalho;0;0;0;0;0;0
321;Arquipélago;Jardim Europa;0;0;0;0;0;0
322;Arquipélago;Jardim Floresta;0;0;0;0;0;0
323;Arquipélago;Jardim Isabel;0;0;0;0;0;0
324;Arquipélago;Jardim Itú;0;0;0;0;0;0
325;Arquipélago;Jardim Leopoldina;0;0;0;0;0;0
326;Arquipélago;Jardim Lindóia;0;0;0;0;0;0
327;Arquipélago;Jardim Sabará;0;0;0;0;0;0
328;Arquipélago;Jardim São Pedro;0;0;0;0;0;0
329;Arquipélago;Jardim do Salso;0;0;0;0;0;0
330;Arquipélago;Lageado;0;0;0;0;0;0
331;Arquipélago;Lami;0;0;0;0;0;0
332;Arquipélago;Lomba do Pinheiro;250;250;0;0;250;0
333;Arquipélago;Medianeira;250;0;171;44;0;250
334;Arquipélago;Menino Deus;500;250;144;43;250;250
335;Arquipélago;Moinhos de Vento;0;0;0;0;0;0
336;Arquipélago;Mont'Serrat;0;0;0;0;0;0
337;Arquipélago;Morro Santana;250;0;149;32;0;250
338;Arquipélago;Mário Quintana;0;0;0;0;0;0
339;Arquipélago;Navegantes;0;0;0;0;0;0
340;Arquipélago;Nonoai;0;0;0;0;0;0
341;Arquipélago;Parque Santa Fé;0;0;0;0;0;0
342;Arquipélago;Partenon;467;0;252;87;0;467
343;Arquipélago;Passo D'Areia;497;247;139;39;247;250
344;Arquipélago;Passo das Pedras;0;0;0;0;0;0
345;Arquipélago;Pedra Redonda;0;0;0;0;0;0
346;Arquipélago;Petrópolis;500;0;300;112;0;500
347;Arquipélago;Pitinga;250;0;150;38;0;250
348;Arquipélago;Ponta Grossa;0;0;0;0;0;0
349;Arquipélago;Praia de Belas;750;250;142;44;500;250
350;Arquipélago;Restinga;250;250;0;0;250;0
351;Arquipélago;Rio Branco;0;0;0;0;0;0
352;Arquipélago;Rubem Berta;208;0;100;81;0;208
353;Arquipélago;Santa Cecília;0;0;0;0;0;0
354;Arquipélago;Santa Maria Goretti;0;0;0;0;0;0
355;Arquipélago;Santa Rosa de Lima;0;0;0;0;0;0
356;Arquipélago;Santa Tereza;0;0;0;0;0;0
357;Arquipélago;Santana;0;0;0;0;0;0
358;Arquipélago;Santo Antônio;250;0;142;49;0;250
359;Arquipélago;Sarandi;247;247;0;0;247;0
360;Arquipélago;Serraria;0;0;0;0;0;0
361;Arquipélago;São Caetano;0;0;0;0;0;0
362;Arquipélago;São Geraldo;250;0;135;34;0;250
363;Arquipélago;São José;0;0;0;0;0;0
364;Arquipélago;São João;250;0;129;39;0;250
365;Arquipélago;São Sebastião;0;0;0;0;0;0
366;Arquipélago;Sétimo Céu;0;0;0;0;0;0
367;Arquipélago;Teresópolis;0;0;0;0;0;0
368;Arquipélago;Tristeza;500;250;120;45;250;250
369;Arquipélago;Três Figueiras;0;0;0;0;0;0
370;Arquipélago;Vila Assunção;0;0;0;0;0;0
371;Arquipélago;Vila Conceição;0;0;0;0;0;0
372;Arquipélago;Vila Ipiranga;0;0;0;0;0;0
373;Arquipélago;Vila Jardim;250;0;155;48;0;250
374;Arquipélago;Vila João Pessoa;0;0;0;0;0;0
375;Arquipélago;Vila Nova;0;0;0;0;0;0
376;Auxiliadora;Aberta dos Morros;0;0;0;0;0;0
377;Auxiliadora;Agronomia;0;0;0;0;0;0
378;Auxiliadora;Anchieta;250;0;0;0;250;0
379;Auxiliadora;Arquipélago;196;0;117;36;0;196
380;Auxiliadora;Auxiliadora;1402;0;479;267;499;903
381;Auxiliadora;Azenha;182;0;92;53;0;182
382;Auxiliadora;Bela Vista;950;493;134;48;785;165
383;Auxiliadora;Belém Novo;0;0;0;0;0;0
384;Auxiliadora;Belém Velho;0;0;0;0;0;0
385;Auxiliadora;Boa Vista;457;0;238;127;0;457
386;Auxiliadora;Boa Vista do Sul;0;0;0;0;0;0
387;Auxiliadora;Bom Fim;250;0;141;69;0;250
388;Auxiliadora;Bom Jesus;0;0;0;0;0;0
389;Auxiliadora;Camaquã;707;0;410;190;0;707
390;Auxiliadora;Campo Novo;0;0;0;0;0;0
391;Auxiliadora;Cascata;0;0;0;0;0;0
392;Auxiliadora;Cavalhada;196;0;113;59;0;196
393;Auxiliadora;Cel. Aparício Borges;414;0;107;25;249;165
394;Auxiliadora;Centro Histórico;196;0;95;55;0;196
395;Auxiliadora;Chapéu do Sol;0;0;0;0;0;0
396;Auxiliadora;Chácara das Pedras;0;0;0;0;0;0
397;Auxiliadora;Cidade Baixa;250;0;150;57;0;250
398;Auxiliadora;Costa e Silva;0;0;0;0;0;0
399;Auxiliadora;Cristal;0;0;0;0;0;0
400;Auxiliadora;Cristo Redentor;0;0;0;0;0;0
401;Auxiliadora;Espírito Santo;194;0;0;0;194;0
402;Auxiliadora;Extrema;0;0;0;0;0;0
403;Auxiliadora;Farrapos;4017;492;1878;947;717;2424
404;Auxiliadora;Farroupilha;0;0;0;0;0;0
405;Auxiliadora;Floresta;250;0;131;60;0;250
406;Auxiliadora;Glória;250;0;168;60;0;250
407;Auxiliadora;Guarujá;0;0;0;0;0;0
408;Auxiliadora;Higienópolis;250;0;250;0;250;0
409;Auxiliadora;Humaitá;0;0;0;0;0;0
410;Auxiliadora;Hípica;0;0;0;0;0;0
411;Auxiliadora;Independência;665;0;204;131;250;415
412;Auxiliadora;Ipanema;0;0;0;0;0;0
413;Auxiliadora;Jardim Botânico;0;0;0;0;0;0
414;Auxiliadora;Jardim Carvalho;207;0;119;42;0;207
415;Auxiliadora;Jardim Europa;0;0;0;0;0;0
416;Auxiliadora;Jardim Floresta;0;0;0;0;0;0
417;Auxiliadora;Jardim Isabel;0;0;0;0;0;0
418;Auxiliadora;Jardim Itú;250;0;131;80;0;250
419;Auxiliadora;Jardim Leopoldina;196;0;121;50;0;196
420;Auxiliadora;Jardim Lindóia;250;0;131;68;0;250
421;Auxiliadora;Jardim Sabará;0;0;0;0;0;0
422;Auxiliadora;Jardim São Pedro;0;0;0;0;0;0
423;Auxiliadora;Jardim do Salso;0;0;0;0;0;0
424;Auxiliadora;Lageado;0;0;0;0;0;0
425;Auxiliadora;Lami;0;0;0;0;0;0
426;Auxiliadora;Lomba do Pinheiro;250;0;147;40;0;250
427;Auxiliadora;Medianeira;0;0;0;0;0;0
428;Auxiliadora;Menino Deus;0;0;0;0;0;0
429;Auxiliadora;Moinhos de Vento;631;0;424;148;242;389
430;Auxiliadora;Mont'Serrat;1250;500;405;225;500;750
431;Auxiliadora;Morro Santana;457;250;114;42;250;207
432;Auxiliadora;Mário Quintana;0;0;0;0;0;0
433;Auxiliadora;Navegantes;0;0;0;0;0;0
434;Auxiliadora;Nonoai;445;249;108;37;249;196
435;Auxiliadora;Parque Santa Fé;0;0;0;0;0;0
436;Auxiliadora;Partenon;207;0;122;38;0;207
437;Auxiliadora;Passo D'Areia;1139;0;496;397;0;1139
438;Auxiliadora;Passo das Pedras;0;0;0;0;0;0
439;Auxiliadora;Pedra Redonda;0;0;0;0;0;0
440;Auxiliadora;Petrópolis;3007;735;1201;494;1224;1783
441;Auxiliadora;Pitinga;250;0;131;86;0;250
442;Auxiliadora;Ponta Grossa;0;0;0;0;0;0
443;Auxiliadora;Praia de Belas;250;0;131;90;0;250
444;Auxiliadora;Restinga;0;0;0;0;0;0
445;Auxiliadora;Rio Branco;750;250;261;142;250;500
446;Auxiliadora;Rubem Berta;250;0;0;0;250;0
447;Auxiliadora;Santa Cecília;0;0;0;0;0;0
448;Auxiliadora;Santa Maria Goretti;250;0;146;63;0;250
449;Auxiliadora;Santa Rosa de Lima;0;0;0;0;0;0
450;Auxiliadora;Santa Tereza;165;0;114;25;0;165
451;Auxiliadora;Santana;0;0;0;0;0;0
452;Auxiliadora;Santo Antônio;0;0;0;0;0;0
453;Auxiliadora;Sarandi;242;0;0;0;242;0
454;Auxiliadora;Serraria;0;0;0;0;0;0
455;Auxiliadora;São Caetano;0;0;0;0;0;0
456;Auxiliadora;São Geraldo;0;0;0;0;0;0
457;Auxiliadora;São José;242;242;0;0;242;0
458;Auxiliadora;São João;1446;491;362;210;735;711
459;Auxiliadora;São Sebastião;250;0;128;78;0;250
460;Auxiliadora;Sétimo Céu;0;0;0;0;0;0
461;Auxiliadora;Teresópolis;0;0;0;0;0;0
462;Auxiliadora;Tristeza;0;0;0;0;0;0
