scenario;levy;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy;reroute_events;rerouted_requested;rerouted_fulfilled;rerouted_unmet;reroute_traveler_distance;mean_reroute_distance_per_traveler;receiving_destinations;peak_receiving_load
13_levy_on_flood_both_reroute;True;26;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20881791.893719535;79.15286371455687;79.15286371455687;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;26;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84006999.01750335;79.59730814620367;79.59730814620367;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;27;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89157000.24488236;84.47697578632022;84.47697578632022;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;27;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20850203.044800345;79.03312552991609;79.03312552991609;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;27;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83967176.95048186;79.5595764169811;79.5595764169811;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;28;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89152096.93047918;84.47232985643281;84.47232985643281;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;28;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20850482.010047525;79.03418295345061;79.03418295345061;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;28;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83966473.36996914;79.5589097687788;79.5589097687788;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;29;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89029581.30853158;84.35624531791888;84.35624531791888;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;29;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20888645.38561106;79.1788420172054;79.1788420172054;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
