code,table_group,scenario,experiment,repetition,status,detail,runtime_seconds,runtime_seconds_per_cycle,peak_working_set_mib,max_blob_count,commit_sha
A04,adaptation,stage5_13_levy_off_flood_both_reroute,popular_times_v2/stage5/13_levy_off_flood_both_reroute,0,complete,all controlled performance artifacts are complete,240.8164512999938,4.300293773214174,272.3125,1743,48b2e244f7329c368e46d286002bbc4de7bd81a3
A04,adaptation,stage5_13_levy_off_flood_both_reroute,popular_times_v2/stage5/13_levy_off_flood_both_reroute,1,complete,all controlled performance artifacts are complete,241.87071769998875,4.31911995892837,275.05078125,1743,48b2e244f7329c368e46d286002bbc4de7bd81a3
A04,adaptation,stage5_13_levy_off_flood_both_reroute,popular_times_v2/stage5/13_levy_off_flood_both_reroute,2,complete,all controlled performance artifacts are complete,242.83874279999873,4.336406121428548,275.22265625,1743,48b2e244f7329c368e46d286002bbc4de7bd81a3
A04,adaptation,stage5_13_levy_off_flood_both_reroute,popular_times_v2/stage5/13_levy_off_flood_both_reroute,3,complete,all controlled performance artifacts are complete,243.14203369995812,4.341822030356395,270.69140625,1743,48b2e244f7329c368e46d286002bbc4de7bd81a3
A04,adaptation,stage5_13_levy_off_flood_both_reroute,popular_times_v2/stage5/13_levy_off_flood_both_reroute,4,complete,all controlled performance artifacts are complete,240.80181549995905,4.300032419642126,274.82421875,1743,48b2e244f7329c368e46d286002bbc4de7bd81a3
A05,adaptation,stage5_13_levy_on_flood_both_reroute,popular_times_v2/stage5/13_levy_on_flood_both_reroute,0,complete,all controlled performance artifacts are complete,294.4976603999967,5.2588867928570835,314.4921875,1838,48b2e244f7329c368e46d286002bbc4de7bd81a3
A05,adaptation,stage5_13_levy_on_flood_both_reroute,popular_times_v2/stage5/13_levy_on_flood_both_reroute,1,complete,all controlled performance artifacts are complete,292.92484679998597,5.230800835714035,315.16015625,1837,48b2e244f7329c368e46d286002bbc4de7bd81a3
A05,adaptation,stage5_13_levy_on_flood_both_reroute,popular_times_v2/stage5/13_levy_on_flood_both_reroute,2,complete,all controlled performance artifacts are complete,295.06929820001824,5.269094610714611,312.5,1837,48b2e244f7329c368e46d286002bbc4de7bd81a3
A05,adaptation,stage5_13_levy_on_flood_both_reroute,popular_times_v2/stage5/13_levy_on_flood_both_reroute,3,complete,all controlled performance artifacts are complete,294.4572814999847,5.258165741071155,315.90234375,1839,48b2e244f7329c368e46d286002bbc4de7bd81a3
A05,adaptation,stage5_13_levy_on_flood_both_reroute,popular_times_v2/stage5/13_levy_on_flood_both_reroute,4,complete,all controlled performance artifacts are complete,293.9274465999915,5.248704403571277,315.9140625,1839,48b2e244f7329c368e46d286002bbc4de7bd81a3
