;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
223;Anchieta;Independência;0;0;0;0;0;0
224;Anchieta;Ipanema;50;0;28;12;0;50
225;Anchieta;Jardim Botânico;0;0;0;0;0;0
226;Anchieta;Jardim Carvalho;0;0;0;0;0;0
227;Anchieta;Jardim Europa;0;0;0;0;0;0
228;Anchieta;Jardim Floresta;150;0;87;29;0;150
229;Anchieta;Jardim Isabel;0;0;0;0;0;0
230;Anchieta;Jardim Itú;100;0;57;20;0;100
231;Anchieta;Jardim Leopoldina;0;0;0;0;0;0
232;Anchieta;Jardim Lindóia;0;0;0;0;0;0
233;Anchieta;Jardim Sabará;50;0;27;8;0;50
234;Anchieta;Jardim São Pedro;250;0;128;28;0;250
235;Anchieta;Jardim do Salso;0;0;0;0;0;0
236;Anchieta;Lageado;0;0;0;0;0;0
237;Anchieta;Lami;0;0;0;0;0;0
238;Anchieta;Lomba do Pinheiro;350;0;189;47;0;350
239;Anchieta;Medianeira;0;0;0;0;0;0
240;Anchieta;Menino Deus;250;0;125;60;0;250
241;Anchieta;Moinhos de Vento;50;0;25;14;0;50
242;Anchieta;Mont'Serrat;200;0;117;42;0;200
243;Anchieta;Morro Santana;0;0;0;0;0;0
244;Anchieta;Mário Quintana;200;0;128;21;0;200
245;Anchieta;Navegantes;0;0;0;0;0;0
246;Anchieta;Nonoai;0;0;0;0;0;0
247;Anchieta;Parque Santa Fé;0;0;0;0;0;0
248;Anchieta;Partenon;100;0;49;15;0;100
249;Anchieta;Passo D'Areia;150;0;53;44;0;150
250;Anchieta;Passo das Pedras;0;0;0;0;0;0
251;Anchieta;Pedra Redonda;0;0;0;0;0;0
252;Anchieta;Petrópolis;50;0;24;15;0;50
253;Anchieta;Pitinga;0;0;0;0;0;0
254;Anchieta;Ponta Grossa;0;0;0;0;0;0
255;Anchieta;Praia de Belas;50;0;25;8;0;50
256;Anchieta;Restinga;50;0;22;11;0;50
257;Anchieta;Rio Branco;100;0;53;24;0;100
258;Anchieta;Rubem Berta;0;0;0;0;0;0
259;Anchieta;Santa Cecília;50;0;24;13;0;50
260;Anchieta;Santa Maria Goretti;200;0;112;22;0;200
261;Anchieta;Santa Rosa de Lima;50;0;30;7;0;50
262;Anchieta;Santa Tereza;200;0;118;37;0;200
263;Anchieta;Santana;50;0;26;10;0;50
264;Anchieta;Santo Antônio;50;0;32;11;0;50
265;Anchieta;Sarandi;2100;0;1057;547;0;2100
266;Anchieta;Serraria;0;0;0;0;0;0
267;Anchieta;São Caetano;0;0;0;0;0;0
268;Anchieta;São Geraldo;0;0;0;0;0;0
269;Anchieta;São José;50;0;29;8;0;50
270;Anchieta;São João;50;0;24;5;0;50
271;Anchieta;São Sebastião;0;0;0;0;0;0
272;Anchieta;Sétimo Céu;0;0;0;0;0;0
273;Anchieta;Teresópolis;0;0;0;0;0;0
274;Anchieta;Tristeza;0;0;0;0;0;0
275;Anchieta;Três Figueiras;0;0;0;0;0;0
276;Anchieta;Vila Assunção;0;0;0;0;0;0
277;Anchieta;Vila Conceição;0;0;0;0;0;0
278;Anchieta;Vila Ipiranga;200;0;117;43;0;200
279;Anchieta;Vila Jardim;0;0;0;0;0;0
280;Anchieta;Vila João Pessoa;100;0;47;27;0;100
281;Anchieta;Vila Nova;100;0;57;19;0;100
282;Arquipélago;Aberta dos Morros;50;0;28;9;0;50
283;Arquipélago;Agronomia;100;0;64;8;0;100
284;Arquipélago;Anchieta;50;0;27;10;0;50
285;Arquipélago;Arquipélago;0;0;0;0;0;0
286;Arquipélago;Auxiliadora;100;0;57;21;0;100
287;Arquipélago;Azenha;50;0;29;7;0;50
288;Arquipélago;Bela Vista;50;0;31;11;0;50
289;Arquipélago;Belém Novo;50;0;28;6;0;50
290;Arquipélago;Belém Velho;100;0;68;7;0;100
291;Arquipélago;Boa Vista;50;0;38;4;0;50
