"node_name","lat","long","water_level"
"Auxiliadora//home_8",-30.02193140406155,-51.19197905560657,""
"Auxiliadora//work_8",-30.022413903111406,-51.193525383791545,""
"Auxiliadora//school_8",-30.02287729684724,-51.193698949393415,""
"Auxiliadora//home_9",-30.023043416963432,-51.18780761419863,""
"Auxiliadora//work_9",-30.02334203567605,-51.18818086661679,""
"Auxiliadora//school_9",-30.023185422785087,-51.18746085961945,""
"Auxiliadora//home_10",-30.02201000367833,-51.1890305737343,""
"Auxiliadora//work_10",-30.022472192763978,-51.189076101180866,""
"Auxiliadora//school_10",-30.021829270110768,-51.189173509215976,""
"Auxiliadora//home_11",-30.020327202497146,-51.18919171307273,""
"Auxiliadora//work_11",-30.019180456423804,-51.18929620498791,""
"Auxiliadora//school_11",-30.01920924008301,-51.18913871895854,""
"Auxiliadora//home_12",-30.018978952661456,-51.18825876458126,""
"Auxiliadora//work_12",-30.019567295645306,-51.187967667632634,""
"Auxiliadora//school_12",-30.020554585962213,-51.18833027567826,""
"Auxiliadora//home_13",-30.020869775498614,-51.185703851730025,""
"Auxiliadora//work_13",-30.021639102402325,-51.185227939226955,""
"Auxiliadora//school_13",-30.01965852864269,-51.18641441978358,""
"Auxiliadora//home_14",-30.022038390800045,-51.187123164693936,""
"Auxiliadora//work_14",-30.022080024762033,-51.18744409420145,""
"Auxiliadora//school_14",-30.023323574466875,-51.187416693393274,""
"Auxiliadora//home_15",-30.02397154357287,-51.18460328906922,""
"Auxiliadora//work_15",-30.023776242498805,-51.183664661340096,""
"Auxiliadora//school_15",-30.02202216595617,-51.184962174175176,""
"Auxiliadora//home_16",-30.01901834130114,-51.19431003557934,""
"Auxiliadora//work_16",-30.020404266526377,-51.19415107546,""
"Auxiliadora//school_16",-30.019801120108905,-51.19487642904491,""
"Auxiliadora//home_17",-30.02294761230536,-51.191172044124215,""
"Auxiliadora//work_17",-30.024071203325,-51.19189158409015,""
"Auxiliadora//school_17",-30.02367036047807,-51.19177957402905,""
"Auxiliadora//home_18",-30.020159199453065,-51.189822839573,""
"Auxiliadora//work_18",-30.02055508725401,-51.18960658193664,""
"Auxiliadora//school_18",-30.021171529769212,-51.18951446129539,""
"Auxiliadora//home_19",-30.0208742072793,-51.191888085713096,""
"Auxiliadora//work_19",-30.020638771832267,-51.19126323791098,""
"Auxiliadora//school_19",-30.0196718947415,-51.19225037564613,""
"Auxiliadora//home_20",-30.021741940015964,-51.19243039415066,""
"Auxiliadora//work_20",-30.02139825339974,-51.192432274098216,""
"Auxiliadora//school_20",-30.01977817943423,-51.19273243829573,""
"Auxiliadora//marketplace_0",-30.018986354328405,-51.19409957770004,""
"Auxiliadora//restaurant_0",-30.01953875324043,-51.195159108174614,""
"Auxiliadora//pharmacy_0",-30.020698723772977,-51.19596050368953,""
"Auxiliadora//marketplace_1",-30.025095078313296,-51.193466941652005,""
"Auxiliadora//restaurant_1",-30.022107228249094,-51.19739906278428,""
"Auxiliadora//pharmacy_1",-30.024395102507746,-51.19551966544586,""
"Auxiliadora//marketplace_2",-30.02375123434459,-51.19592101559138,""
"Auxiliadora//restaurant_2",-30.02549352069018,-51.19503642376145,""
"Auxiliadora//pharmacy_2",-30.02372798866372,-51.19557797070356,""
"Auxiliadora//marketplace_3",-30.0231665277959,-51.193433543395045,""
"Auxiliadora//restaurant_3",-30.022095132616876,-51.19254911286297,""
"Auxiliadora//pharmacy_3",-30.02332149179672,-51.194786655070104,""
"Auxiliadora//marketplace_4",-30.024913378178088,-51.1935344349276,""
"Auxiliadora//restaurant_4",-30.023177132698294,-51.193988875682706,""
"Auxiliadora//pharmacy_4",-30.0232790083977,-51.19400409456155,""
"Auxiliadora//marketplace_5",-30.02208976845759,-51.19479312601384,""
"Auxiliadora//restaurant_5",-30.023385787478873,-51.196300567451736,""
"Auxiliadora//pharmacy_5",-30.02373576796837,-51.19472015984224,""
"Auxiliadora//marketplace_6",-30.017506452545373,-51.19621241869385,""
"Auxiliadora//restaurant_6",-30.01813543519171,-51.197531206354256,""
"Auxiliadora//pharmacy_6",-30.016051469476846,-51.19801131461162,""
"Auxiliadora//marketplace_7",-30.020274873603242,-51.19114134086839,""
"Auxiliadora//restaurant_7",-30.01808105174741,-51.19178942233371,""
"Auxiliadora//pharmacy_7",-30.01944933670638,-51.19274576349346,""
"Auxiliadora//marketplace_8",-30.021927513559937,-51.19200732930611,""
"Auxiliadora//restaurant_8",-30.021980757757454,-51.19340752772832,""
"Auxiliadora//pharmacy_8",-30.021861668388276,-51.193031261251036,""
"Auxiliadora//marketplace_9",-30.02251245022417,-51.188604279686075,""
"Auxiliadora//restaurant_9",-30.022638833974916,-51.18849916413059,""
"Auxiliadora//pharmacy_9",-30.0234704235646,-51.18849573037096,""
"Auxiliadora//marketplace_10",-30.022640058235577,-51.189631100234486,""
"Auxiliadora//restaurant_10",-30.023239408710953,-51.18961059508425,""
"Auxiliadora//pharmacy_10",-30.02234889870378,-51.188497263077096,""
"Auxiliadora//marketplace_11",-30.020859605009367,-51.18968579931796,""
"Auxiliadora//restaurant_11",-30.020440626574864,-51.18865973859805,""
"Auxiliadora//pharmacy_11",-30.021670191734383,-51.18861098553561,""
"Auxiliadora//marketplace_12",-30.01924676236484,-51.1879052962215,""
"Auxiliadora//restaurant_12",-30.019231224454163,-51.18831602801978,""
"Auxiliadora//pharmacy_12",-30.0191563125552,-51.18889960357146,""
"Auxiliadora//marketplace_13",-30.022132668713283,-51.18902103801077,""
"Auxiliadora//restaurant_13",-30.02034198593055,-51.18639692256742,""
"Auxiliadora//pharmacy_13",-30.020757277880552,-51.185732510618976,""
"Auxiliadora//marketplace_14",-30.021882032908284,-51.18547975648318,""
"Auxiliadora//restaurant_14",-30.022669041248413,-51.187921793994484,""
"Auxiliadora//pharmacy_14",-30.020116331600995,-51.18779207535097,""
"Auxiliadora//marketplace_15",-30.02455818611088,-51.18570718321287,""
"Auxiliadora//restaurant_15",-30.02412290946276,-51.18392344478292,""
"Auxiliadora//pharmacy_15",-30.02354837134029,-51.18436585481212,""
"Auxiliadora//marketplace_16",-30.018903011067096,-51.19429721777876,""
"Auxiliadora//restaurant_16",-30.01863971909147,-51.197223845261256,""
"Auxiliadora//pharmacy_16",-30.01942555079364,-51.19506613771158,""
"Auxiliadora//marketplace_17",-30.02276986929009,-51.189081899433646,""
"Auxiliadora//restaurant_17",-30.02365774730712,-51.191169871864076,""
"Auxiliadora//pharmacy_17",-30.023189554440506,-51.19110104298293,""
"Auxiliadora//marketplace_18",-30.0206217174379,-51.189677156416174,""
"Auxiliadora//restaurant_18",-30.019764218191128,-51.18933093156339,""
"Auxiliadora//pharmacy_18",-30.020373064363483,-51.19108836839482,""
"Auxiliadora//marketplace_19",-30.02121735796412,-51.1924134736033,""
"Auxiliadora//restaurant_19",-30.019897951914366,-51.19170130152524,""
"Auxiliadora//pharmacy_19",-30.021044805444127,-51.19267977554429,""
"Auxiliadora//marketplace_20",-30.021625583993256,-51.19083317619557,""
