order,id,Latitude,Longitude,name,region,address,abrigo,capacity,shelteredPeople
112,c275c8c9-514d-484d-aad2-e2e8b2f7c882,-29.985632097653117,-51.12987250388488,AMVEP [EVACUADO],Sarandi,"Av. 21 de Abril, 792 - Sarandi, Porto Alegre - RS, 91120-630",Sim,,
27,c978c13d-2f77-48e6-bfb7-cbb560b89ae0,-30.164344878647068,-51.22811414620507,Escola Custódio,Serraria,"Rua Argemiro Ogando Corrêa, 220 - Serraria, Porto Alegre",Sim,40,40
107,40d34be2-9c8a-41df-b86b-3c9909c0da47,-30.029352401197745,-51.175113275047025,Colégio Anchieta,Três Figueiras,"Av. Dr. Nilo Peçanha, 1521 - Três Figueiras, Porto Alegre - RS, 91330-000",,,
49,429fc597-b5ed-4224-8401-54668f171d19,-30.111891998848165,-51.248415003879366,Colegio Mae De Deus,Tristeza,"R. Dr. Mário Totta, 1252 - Tristeza, Porto Alegre - Rs, 91920-130",Sim,110.0,
39,8aa03a2f-97f9-46a8-9b4c-72dce395120e,-30.096923392553087,-51.252475384487134,Associação Biblioteca Bororó,Vila Assunção,"Rua Bororó, 21, Vila Assunção, Porto Alegre",,,
79,95b97ec2-a9be-43d7-9377-5f6f44d61db3,-30.01979996244902,-51.15874080388333,Igreja Luterana Congregação São Paulo,Vila Ipiranga,"Rua Cipó, 450 - Vila Ipiranga, Porto Alegre",Sim,120.0,120.0
104,c3557925-c02f-4d77-93f4-d0bf170dc9eb,-30.011555206744003,-51.153605626243554,Colégio Mesquita,Vila Ipiranga,"Av. do Forte, 171",Sim,120.0,
56,905820e1-6281-4e21-8ec5-9f501a9bae42,-30.06255854101132,-51.17677022682482,Igreja Quadrangular - Partenon,Vila João Pessoa,"Rua Ângelo Barcelos, 35 - Partenon",,,
17,f2884cd5-1f02-43b0-a7ed-77254b8a8c5f,-30.11429405720648,-51.21561232681023,Mulheres Em Rede / Consepro,Vila Nova,"João Salomoni, 1105 - Vila Nova",Sim,30,0
19,27dc15cf-13a6-44bb-8707-0baef7dd99f1,-30.10323246677437,-51.21671550387981,Casa Marista Da Juventude Caju,Vila Nova,"Estrada Aracaju, 651 - Vila Nova, Porto Alegre",Sim,110,110
23,f3985a52-5c14-4cbb-b0d3-1702e26c15c5,-30.1015220822948,-51.21670636155209,Ginásio Rede Calábria,Vila Nova,"Estrada Aracaju, 650, Vila Nova",Sim,,
35,1c0b9c93-c4b1-4537-a9f3-9e7afb20ac61,-30.103241748537936,-51.21670477504379,Casa Da Juventude Marista,Vila Nova,"Estrada Aracaju, 651 - Vila Nova, Porto Alegre",Sim,110,110
