id,Latitude,Longitude,name,region,address,abrigo,capacity,shelteredPeople,obs
52,-30.045392007843684,-51.2195979726091,Tesourinha (Ginásio Municipal Osmar Fortes Barcellos),Menino Deus,"Av. Érico Veríssimo, s/n - Menino Deus, Porto Alegre - RS, 90160-180",Sim,,,
53,-30.0498859,-51.2201314,CETE Menino Deus,Menino Deus,"R. Gonçalves Dias, 700 - Menino Deus",Sim,450,450,
54,-30.02251165,-51.19780107059192,GNU - Grêmio Náutico União - Sede Moinhos de Vento,Moinhos de Vento,"R. Quintino Bocaiúva, 500 - Moinhos de Vento, Porto Alegre - RS, 90440-050",Sim,275,275,
55,-30.02729135,-51.20839161175612,Colégio Bom Conselho,Moinhos de Vento,"R. Ramiro Barcelos, 996 - Moinhos de Vento",Sim,100,100,
56,-30.0424534,-51.1213891,Igreja Aspirantes De Cristo,Morro Santana,"R. Parlamento, 115 - Morro Santana",Sim,60,60,
57,-30.0400628,-51.123060027251654,EEEM Alcides Cunha,Morro Santana,"R. Hélio Pimpão, 52 - Morro Santana, Porto Alegre - RS, 91450-330",Sim,30,,
58,-30.03937257999005,-51.126790456232655,Condomínio Residencial Açorianos,Morro Santana,"R. Amadeu F. de Oliveira Freitas, 65 - Morro Santana",Sim,23,0,
59,-30.0365264,-51.1239728,Associação Missionária SOS Resgatando Vidas,Morro Santana,"R. Três, 178 - Morro Santana",Sim,300,250,
60,-30.03761935,-51.125632316320306,Escola Estadual Porto Alegre,Morro Santana,"Rua João Dallegrave, 130 - Morro Santana",Sim,126,106,
61,-30.092874232547594,-51.205816899912044,Apamecor,Nonoai,"R. Fernando Osório, 1156 - Nonoai",Sim,200,200,
62,-30.0140585,-51.1082266,Escola São Francisco - Santa Fé,Parque Santa Fé,"Av. Delmar Rocha Barbosa, 234 - Parque Santa Fé",Sim,120,120,
63,-30.0534981,-51.2023835,Manacial de Vida e Atacadão Miranda,Partenon,"Av. Bento Gonçalves, 6623 - Partenon",Sim,110,60,
64,-30.0787291,-51.1175472,Igreja Lugar De Adoração,Partenon,"Av. Bento Gonçalves, 7196 - Agronomia",Sim,60,20,
65,-30.0622325,-51.1520384,Igreja da Lagoinha,Partenon,"R. Prof. Guerreiro Lima, 476 - Partenon",Sim,72,72,
66,-30.0587992,-51.1530981,PUCRS - Parque Esportivo,Partenon,"Av. Ipiranga, 6690 - Partenon",Sim,230,253,
67,-30.0574594,-51.1596155,CTG Sentinela dos Pampas,Partenon,"R. Ivo Janson, 31 - Partenon",Sim,150,150,
68,-30.058231,-51.1858897,AMRIGS,Partenon,"Av. Ipiranga, 5311 - Partenon, Porto Alegre - RS, 90610-001",Sim,,,
69,-30.0490415,-51.1976501,Ginásio do Sindicato dos Gráficos,Partenon,"R. Veador Porto, 241 - Partenon",Sim,52,52,
70,-30.0073857,-51.1676283,CF Vikings,Passo d'Areia,"Rua Visconde De Pelotas, 473",Sim,28,24,
71,-30.010154649663217,-51.16959837127592,Instituto São Francisco - Pallotti,Passo d'Areia,"R. Tupi, 212 - Passo D'areia, Porto Alegre - Rs, 90010-090",Sim,72,19,
72,-30.0156266,-51.1750355,Igreja Nossa Senhora da Fátima,Passo d'Areia,"R. Dr. Napoleão Laureano, s/n - Passo d'Areia",Sim,78,73,
73,-30.016961,-51.1669475,South Training,Passo d'Areia,"R. Jari, 221 - Passo d'Areia",Sim,61,30,
74,-30.0100902,-51.1742748,Escola Gonçalves Dias,Passo DAreia,"R. Candiota, 145 - Passo d'Areia",Sim,50,50,
75,-30.033257300000002,-51.12352533470412,Uniritter - Campus Fapa,Passo Das Pedras,"Av. Manoel Elias, 2001 - Passo Das Pedras",Sim,140,120,
76,-30.129133228902443,-51.24303627100766,Morro Do Sabiá,Pedra Redonda,"R. Ney Castilhos Ferreira, 301 - Pedra Redonda",Sim,142,142,
