;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
244;Anchieta;Mário Quintana;117;50;44;6;50;67
245;Anchieta;Navegantes;100;50;0;0;100;0
246;Anchieta;Nonoai;110;100;4;3;100;10
247;Anchieta;Parque Santa Fé;0;0;0;0;0;0
248;Anchieta;Partenon;119;0;67;23;0;119
249;Anchieta;Passo D'Areia;265;50;51;68;100;165
250;Anchieta;Passo das Pedras;111;50;33;13;50;61
251;Anchieta;Pedra Redonda;0;0;0;0;0;0
252;Anchieta;Petrópolis;106;0;70;20;0;106
253;Anchieta;Pitinga;0;0;0;0;0;0
254;Anchieta;Ponta Grossa;24;0;14;4;0;24
255;Anchieta;Praia de Belas;0;0;0;0;0;0
256;Anchieta;Restinga;161;50;40;8;100;61
257;Anchieta;Rio Branco;30;0;17;11;0;30
258;Anchieta;Rubem Berta;27;0;11;12;0;27
259;Anchieta;Santa Cecília;0;0;0;0;0;0
260;Anchieta;Santa Maria Goretti;806;300;160;30;532;274
261;Anchieta;Santa Rosa de Lima;153;50;29;9;100;53
262;Anchieta;Santa Tereza;85;50;21;5;50;35
263;Anchieta;Santana;24;0;12;8;0;24
264;Anchieta;Santo Antônio;5;0;2;1;0;5
265;Anchieta;Sarandi;729;0;412;180;50;679
266;Anchieta;Serraria;0;0;0;0;0;0
267;Anchieta;São Caetano;50;0;0;0;50;0
268;Anchieta;São Geraldo;60;0;8;1;50;10
269;Anchieta;São José;22;0;15;5;0;22
270;Anchieta;São João;92;0;46;15;0;92
271;Anchieta;São Sebastião;50;50;0;0;50;0
272;Anchieta;Sétimo Céu;0;0;0;0;0;0
273;Anchieta;Teresópolis;10;0;5;2;0;10
274;Anchieta;Tristeza;26;0;15;6;0;26
275;Anchieta;Três Figueiras;0;0;0;0;0;0
276;Anchieta;Vila Assunção;0;0;0;0;0;0
277;Anchieta;Vila Conceição;0;0;0;0;0;0
278;Anchieta;Vila Ipiranga;29;0;16;7;0;29
279;Anchieta;Vila Jardim;36;0;19;11;0;36
