;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
323;0;Arquipélago;Jardim Isabel;0;0;0;0;0;0
324;0;Arquipélago;Jardim Itú;0;0;0;0;0;0
325;0;Arquipélago;Jardim Leopoldina;0;0;0;0;0;0
326;0;Arquipélago;Jardim Lindóia;0;0;0;0;0;0
327;0;Arquipélago;Jardim Sabará;0;0;0;0;0;0
328;0;Arquipélago;Jardim São Pedro;0;0;0;0;0;0
329;0;Arquipélago;Jardim do Salso;0;0;0;0;0;0
330;0;Arquipélago;Lageado;0;0;0;0;0;0
331;0;Arquipélago;Lami;0;0;0;0;0;0
332;0;Arquipélago;Lomba do Pinheiro;249;249;0;0;249;0
333;0;Arquipélago;Medianeira;250;0;171;44;0;250
334;0;Arquipélago;Menino Deus;500;250;144;43;250;250
335;0;Arquipélago;Moinhos de Vento;0;0;0;0;0;0
336;0;Arquipélago;Mont'Serrat;0;0;0;0;0;0
337;0;Arquipélago;Morro Santana;0;0;0;0;0;0
338;0;Arquipélago;Mário Quintana;0;0;0;0;0;0
339;0;Arquipélago;Navegantes;0;0;0;0;0;0
340;0;Arquipélago;Nonoai;0;0;0;0;0;0
341;0;Arquipélago;Parque Santa Fé;0;0;0;0;0;0
342;0;Arquipélago;Partenon;405;0;221;70;0;405
343;0;Arquipélago;Passo D'Areia;491;241;139;39;241;250
344;0;Arquipélago;Passo das Pedras;0;0;0;0;0;0
345;0;Arquipélago;Pedra Redonda;0;0;0;0;0;0
346;0;Arquipélago;Petrópolis;250;0;144;36;0;250
347;0;Arquipélago;Pitinga;250;0;150;38;0;250
348;0;Arquipélago;Ponta Grossa;0;0;0;0;0;0
349;0;Arquipélago;Praia de Belas;500;250;0;0;500;0
350;0;Arquipélago;Restinga;250;250;0;0;250;0
351;0;Arquipélago;Rio Branco;0;0;0;0;0;0
352;0;Arquipélago;Rubem Berta;131;0;64;52;0;131
353;0;Arquipélago;Santa Cecília;0;0;0;0;0;0
354;0;Arquipélago;Santa Maria Goretti;0;0;0;0;0;0
355;0;Arquipélago;Santa Rosa de Lima;0;0;0;0;0;0
356;0;Arquipélago;Santa Tereza;0;0;0;0;0;0
357;0;Arquipélago;Santana;0;0;0;0;0;0
358;0;Arquipélago;Santo Antônio;250;0;142;49;0;250
359;0;Arquipélago;Sarandi;241;241;0;0;241;0
360;0;Arquipélago;Serraria;0;0;0;0;0;0
361;0;Arquipélago;São Caetano;0;0;0;0;0;0
362;0;Arquipélago;São Geraldo;250;0;135;34;0;250
363;0;Arquipélago;São José;0;0;0;0;0;0
364;0;Arquipélago;São João;250;0;129;39;0;250
365;0;Arquipélago;São Sebastião;0;0;0;0;0;0
366;0;Arquipélago;Sétimo Céu;0;0;0;0;0;0
367;0;Arquipélago;Teresópolis;0;0;0;0;0;0
368;0;Arquipélago;Tristeza;500;250;120;45;250;250
369;0;Arquipélago;Três Figueiras;0;0;0;0;0;0
370;0;Arquipélago;Vila Assunção;0;0;0;0;0;0
371;0;Arquipélago;Vila Conceição;0;0;0;0;0;0
372;0;Arquipélago;Vila Ipiranga;0;0;0;0;0;0
373;0;Arquipélago;Vila Jardim;250;0;155;48;0;250
374;0;Arquipélago;Vila João Pessoa;0;0;0;0;0;0
375;0;Arquipélago;Vila Nova;0;0;0;0;0;0
376;0;Auxiliadora;Aberta dos Morros;0;0;0;0;0;0
377;0;Auxiliadora;Agronomia;0;0;0;0;0;0
378;0;Auxiliadora;Anchieta;250;0;0;0;250;0
379;0;Auxiliadora;Arquipélago;134;0;77;29;0;134
380;0;Auxiliadora;Auxiliadora;1287;0;429;225;497;790
381;0;Auxiliadora;Azenha;105;0;51;27;0;105
382;0;Auxiliadora;Bela Vista;838;478;77;20;770;68
383;0;Auxiliadora;Belém Novo;0;0;0;0;0;0
384;0;Auxiliadora;Belém Velho;0;0;0;0;0;0
385;0;Auxiliadora;Boa Vista;407;0;210;118;0;407
386;0;Auxiliadora;Boa Vista do Sul;0;0;0;0;0;0
387;0;Auxiliadora;Bom Fim;250;0;141;69;0;250
388;0;Auxiliadora;Bom Jesus;0;0;0;0;0;0
389;0;Auxiliadora;Camaquã;657;0;384;180;0;657
390;0;Auxiliadora;Campo Novo;0;0;0;0;0;0
391;0;Auxiliadora;Cascata;0;0;0;0;0;0
392;0;Auxiliadora;Cavalhada;134;0;73;43;0;134
393;0;Auxiliadora;Cel. Aparício Borges;315;0;35;14;247;68
394;0;Auxiliadora;Centro Histórico;134;0;67;41;0;134
395;0;Auxiliadora;Chapéu do Sol;0;0;0;0;0;0
396;0;Auxiliadora;Chácara das Pedras;0;0;0;0;0;0
397;0;Auxiliadora;Cidade Baixa;250;0;150;57;0;250
398;0;Auxiliadora;Costa e Silva;0;0;0;0;0;0
399;0;Auxiliadora;Cristal;0;0;0;0;0;0
400;0;Auxiliadora;Cristo Redentor;0;0;0;0;0;0
401;0;Auxiliadora;Espírito Santo;94;0;0;0;94;0
402;0;Auxiliadora;Extrema;0;0;0;0;0;0
403;0;Auxiliadora;Farrapos;9146;1231;4239;2083;1840;5278
404;0;Auxiliadora;Farroupilha;0;0;0;0;0;0
405;0;Auxiliadora;Floresta;250;0;131;60;0;250
406;0;Auxiliadora;Glória;250;0;168;60;0;250
407;0;Auxiliadora;Guarujá;0;0;0;0;0;0
408;0;Auxiliadora;Higienópolis;250;0;250;0;250;0
409;0;Auxiliadora;Humaitá;0;0;0;0;0;0
410;0;Auxiliadora;Hípica;0;0;0;0;0;0
411;0;Auxiliadora;Independência;568;0;156;102;250;318
412;0;Auxiliadora;Ipanema;0;0;0;0;0;0
413;0;Auxiliadora;Jardim Botânico;0;0;0;0;0;0
414;0;Auxiliadora;Jardim Carvalho;157;0;92;33;0;157
415;0;Auxiliadora;Jardim Europa;0;0;0;0;0;0
416;0;Auxiliadora;Jardim Floresta;0;0;0;0;0;0
417;0;Auxiliadora;Jardim Isabel;0;0;0;0;0;0
418;0;Auxiliadora;Jardim Itú;250;0;131;80;0;250
419;0;Auxiliadora;Jardim Leopoldina;134;0;80;34;0;134
420;0;Auxiliadora;Jardim Lindóia;250;0;131;68;0;250
421;0;Auxiliadora;Jardim Sabará;0;0;0;0;0;0
422;0;Auxiliadora;Jardim São Pedro;0;0;0;0;0;0
423;0;Auxiliadora;Jardim do Salso;0;0;0;0;0;0
424;0;Auxiliadora;Lageado;0;0;0;0;0;0
425;0;Auxiliadora;Lami;0;0;0;0;0;0
426;0;Auxiliadora;Lomba do Pinheiro;0;0;0;0;0;0
427;0;Auxiliadora;Medianeira;0;0;0;0;0;0
428;0;Auxiliadora;Menino Deus;0;0;0;0;0;0
429;0;Auxiliadora;Moinhos de Vento;489;0;346;97;228;261
430;0;Auxiliadora;Mont'Serrat;1250;500;405;225;500;750
431;0;Auxiliadora;Morro Santana;407;250;89;27;250;157
432;0;Auxiliadora;Mário Quintana;0;0;0;0;0;0
433;0;Auxiliadora;Navegantes;0;0;0;0;0;0
434;0;Auxiliadora;Nonoai;381;247;69;32;247;134
435;0;Auxiliadora;Parque Santa Fé;0;0;0;0;0;0
436;0;Auxiliadora;Partenon;157;0;94;30;0;157
437;0;Auxiliadora;Passo D'Areia;761;0;367;259;0;761
438;0;Auxiliadora;Passo das Pedras;0;0;0;0;0;0
439;0;Auxiliadora;Pedra Redonda;0;0;0;0;0;0
440;0;Auxiliadora;Petrópolis;2429;701;883;353;1176;1253
441;0;Auxiliadora;Pitinga;250;0;131;86;0;250
442;0;Auxiliadora;Ponta Grossa;0;0;0;0;0;0
443;0;Auxiliadora;Praia de Belas;250;0;131;90;0;250
444;0;Auxiliadora;Restinga;0;0;0;0;0;0
445;0;Auxiliadora;Rio Branco;750;250;261;142;250;500
